# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
qy	留	久 訇 䚻 勺 夊 鈁 鈫
qyb	鐓	錞
qyn	鍽	釯 鈩 匄
qyv	貿	鋃
ra	摸	找 皂 扛
ram	搆	摃
rbi	拯	摂
rd	拜	拓 㚖 㧋 㧔
rdc	拔	抜
rdf	挎	拜 拝 皋
rdh	拵	抔
rdm	希	頎
rdw	捧	掑
re	援	抈 㧮 㧌 㿞 劤 劧 劰 扐 㔕
ree	撬	掤 搯
rf	挂	扗 拑 扞 皁 抺
rfn	擣	扝
rg	后	皇 抂 扶
rgc	挃	巵
rgm	㧊	皟
rgq	挒	扤
rh	爬	看 扯
rhh	攫	捗 拤
rhw	遞	䖊 䖐 虒
rhy	爬	爪 㨜
ri	抄	泉
rj	提 揚	氜 抇 刈 刏 氘
rjn	拽	搨
rk	操	扣 氚
rl	擇	押 畠 捙
rlf	擇	搟
rmd	揣	抰
rmw	摧	氝 抐
rn	所	扎 挧 䎅 忥 癿 㣻 抋
rnh	扭	㧃
rnu	摒	搱
rnx	紥	屔 抳
ro	擴	氣
rp	探	近 迫 廹
rpq	捥	抌
rpw	控	抭 㧒
rq	抱	皃 捦
rqa	抵	扺
rqq	撳	拸
rr	魄	折 拍 拞 㿟 抙 斦 気 㧉 爻
rrb	㨑	㿱
rrd	皞	硩
rre	爼	挀
rrh	抓	䀸
